Subject id,Session id,Run id,Stimulus (ms),Response (ms),Stimulus id,Hit?,Hit Window Fractional Size,Feedback (pixels)
1,1,1,973.327048898682,862.947944501229,6,1,0.15,-56.2441296292751
1,1,1,677.519900224752,574.920276180364,2,0,0.135,-52.2800632073311
1,1,1,826.253049270235,870.995615364563,4,1,0.15,22.7987597932882
1,1,1,677.854858997307,695.055097784689,2,1,0.135,8.76445288529006
1,1,1,598.501198127224,632.981845458062,1,1,0.12,17.5697566017009
1,1,1,748.943502945167,894.949218406282,3,0,0.105,74.3978167954726
1,1,1,825.412439639649,775.02783174964,4,1,0.12,-25.6736855490495
1,1,1,601.163268306436,607.991518475046,1,1,0.105,3.47936314324071
1,1,1,675.626084111173,693.980100822728,2,1,0.09,9.35236520334024
1,1,1,752.215147805146,814.977601902001,3,0,0.075,31.9808683296079
1,1,1,822.967715519781,739.994608253255,4,0,0.09,-42.2792903268919
1,1,1,827.100363663476,793.073700707964,4,1,0.105,-17.3384269837002
1,1,1,748.306271118281,752.997378158398,3,1,0.09,2.39037301407213
1,1,1,976.015658763799,849.046177656646,6,0,0.075,-64.6978247679761
1,1,1,675.188039611157,821.017475684812,2,0,0.09,74.307992903773
1,1,1,901.444169929391,818.050618164989,5,1,0.105,-42.4935295614788
1,1,1,602.693909770778,726.881209762723,1,0,0.09,63.2801528621376
1,1,1,977.597144679066,1002.90064798719,6,1,0.105,12.8935048703813
1,1,1,748.002321873173,901.97580977474,3,0,0.09,78.4578282300977
1,1,1,976.251163555617,825.99939377792,6,0,0.105,-76.5614113516925
1,1,1,903.246633650269,945.02122476456,5,1,0.12,21.2864158544154
1,1,1,602.347217663237,721.996231364756,1,0,0.105,60.9676502937676
1,1,1,600.726620632031,736.99729993632,1,0,0.12,69.4372888174721
1,1,1,675.423544402975,994.061815119039,2,0,0.135,162.363450046402
1,1,1,828.770408319997,844.908221575452,4,1,0.15,8.22308955691954
1,1,1,901.231852442152,1036.99352850708,5,0,0.135,69.1779241095188
1,1,1,973.55696638806,908.020991494595,6,1,0.15,-33.3941273342493
1,1,1,601.255295829787,764.976274917672,1,0,0.135,83.424702719941
